original_path,status,reason,bytes,sha256,archive_path
1.Source Data/old_graph/2022_forecast_alert_top20_percent.png,existing_archive,Already separated from active results,565887,5172e8b12f38127bc7b0082a1235f8ab9cf9179b0a2021f03bb29654f60c3170,
1.Source Data/old_graph/2022_forecast_alert_top30_percent.png,existing_archive,Already separated from active results,567971,ee6fa1aa23ad0a78722764f2bc8b26af34da08e3f521d6852ae99ce0b2a32fc3,
2.Source Code/Conflit_Simulation.ipynb,archive,Withdrawn legacy conflict simulation; not a paired prediction transition,21038,314755c0fa95c6f843fa61580929ce71a1c5381bd1f0944901f99446a9d61219,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/Conflit_Simulation.ipynb
2.Source Code/Figure1_multiple_figures.ipynb,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",22549,,
2.Source Code/Figure2_Feature_Importance_Forecasting.ipynb,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",28470,,
2.Source Code/Figure2_Nowcasting_two_layer_feature_importance.ipynb,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",46186,,
2.Source Code/Figure3_Flowchart.ipynb,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",15473,,
2.Source Code/Figure4_Descriptives.ipynb,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",10419,,
2.Source Code/Table1_Contemporaneous_main.ipynb,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",9174,,
2.Source Code/Table1_Forecast_phasechange.ipynb,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",12529,,
2.Source Code/Table1_Forecasting_main.ipynb,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",9214,,
2.Source Code/Table1_Nowcast_phasechange.ipynb,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",13049,,
2.Source Code/Table1_Nowcasting_two_layer.ipynb,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",14987,,
2.Source Code/contemporaneous_hyperparameters.json,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",203,583ba961a5e7478f61ca5163889247991a1b878c27eb6bfc7938f47c609ad3d7,
2.Source Code/contemporaneous_hyperparameters_p3.json,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",202,e3cb5e33a43a78dab38324a4a55d98aaa45d8259d54d31f9017dbf3b8fdec8fe,
2.Source Code/figuresS1_hyperparameter.ipynb,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",8074,,
2.Source Code/food_crisis_functions.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",20448,,
2.Source Code/forecasting_hyperparameters.json,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",202,3742300661466f22eba8198e5d4f9c2a277615ba59562fbf27f251ecc932dd76,
2.Source Code/forecasting_hyperparameters_p3.json,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",205,cdc0e55aa15bdda932465088568b9ee717d226208ffb32076f438fb274e6317b,
2.Source Code/generate_2022_alert_map_panel.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",20158,,
2.Source Code/generate_all_prediction_1165_evaluation.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",519,,
2.Source Code/generate_all_prediction_evaluation.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",46405,,
2.Source Code/generate_all_prediction_temporal_test.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",36085,,
2.Source Code/generate_all_prediction_temporal_test_evaluation.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",16583,,
2.Source Code/generate_conflict_missingness_balance.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",6958,,
2.Source Code/generate_conflict_perturbation.py,retain_user_exception,Corrected exploratory perturbation explicitly retained by author,11310,,
2.Source Code/generate_country_phase3plus_population.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",8799,,
2.Source Code/generate_direct_phase3_vs_phase45_rescue.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",164593,,
2.Source Code/generate_direct_phase3_vs_phase45_rescue_contemporaneous.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",44861,,
2.Source Code/generate_direct_phase3_vs_phase45_rescue_five_class_confusion.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",30893,,
2.Source Code/generate_filtered_main_result_metrics.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",27046,,
2.Source Code/generate_leave_area_out_10pct_robustness.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",31082,,
2.Source Code/generate_leave_area_out_20pct_fivefold_robustness.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",24005,,
2.Source Code/generate_leave_area_out_20pct_random_cv.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",20520,,
2.Source Code/generate_leave_one_country_out_robustness.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",59528,,
2.Source Code/generate_missingness_sensitivity.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",69447,,
2.Source Code/generate_multinomial_baseline_comparison.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",19318,,
2.Source Code/generate_nowcasting_calibration.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",48446,,
2.Source Code/generate_persistence_baseline_comparison.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",20394,,
2.Source Code/generate_phase4_rescue_classifier.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",137596,,
2.Source Code/generate_phase_cumulative_scatter_comparison.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",66464,,
2.Source Code/generate_response_table_r1_metrics.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",3862,,
2.Source Code/generate_sample_imbalance_chart.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",6914,,
2.Source Code/generate_simple_baseline_comparison.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",92208,,
2.Source Code/generate_spatial_feature_comparison.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",209054,,
2.Source Code/generate_strict_temporal_leave_one_country_out_robustness.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",40424,,
2.Source Code/generate_variable_missingness_balance.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",8964,,
2.Source Code/main_result_figure1_v1.py,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",12025,,
2.Source Code/main_result_figure1_v1_environment_lock.txt,retain_code_support,"Code, configuration, documentation, tests or other non-presentation support",355,,
2.Source Code/shap_values_forecasting_phase3_colored.jpg,archive,Unreferenced single-phase SHAP image; no current reader or writer found,61823,903d13f75cc0a90721acb630ff3881817bd6962ee8a318fdd25611568140c879,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/shap_values_forecasting_phase3_colored.jpg
2.Source Code/shap_values_forecasting_phase3_phase4_colored.jpg,retain_uncertain,SHAP source version differs from writing; retain pending figure lineage review,116361,1f7693a27e9261ffee11cd14be23b77693033901aed969aa1f3ff53e37a3a019,
2.Source Code/shap_values_grouped_horizontal_bars.jpg,retain_uncertain,SHAP source version differs from writing; retain pending figure lineage review,304670,1eda71ffe1b85aef72e97eb98d2fd4ee0ac48b4daca287db1575a758a3afefe7,
2.Source Code/flowchart_SI/Picture4.drawio,retain_uncertain,Editable figure sources; lineage to current artwork not fully resolved,4811,22b43f8213bdb81c9dee9bbf495eff9c50109edafd7434c709af203c124a5d3f,
2.Source Code/flowchart_SI/Picture4.jpg,retain_uncertain,Editable figure sources; lineage to current artwork not fully resolved,248864,84686451f713e55d9078f4b2218590dbc00469e21ceeed97a32a938dfbe1004b,
2.Source Code/flowchart_SI/Untitled Diagram.drawio (1).png,retain_uncertain,Editable figure sources; lineage to current artwork not fully resolved,36915,594fb5014ded204b585c346dacbb6b2f2364d0f26d3cf4e2fcf6f00ce4c31ffc,
2.Source Code/flowchart_SI/Untitled Diagram.drawio.png,retain_uncertain,Editable figure sources; lineage to current artwork not fully resolved,36914,9f8fb8be6200176d3940e0c99619746f621fb5ca4ec05bacc3de61e7fbb72b6a,
2.Source Code/produced_graph/Actual_alert_map.png,archive,Uncited legacy output; no current computational reader found,105245,16b23b82826974e01430403b4fb83f6adc5b1714bc6a63f15dc93ad6653ec829,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/Actual_alert_map.png
2.Source Code/produced_graph/Forward-looking finetuning.jpg,archive,Uncited legacy output; no current computational reader found,32818,5064e92a7a26586179292d62218932a3fed08498bab4fd9ce6997eff05ee1736,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/Forward-looking finetuning.jpg
2.Source Code/produced_graph/Picture1.jpg,retain_lineage,"Current figure/table source, companion export, or complete audit/hash-bound dependency family",149109,ca80f26f8849960b816223db790756c1385350ada504eb639f33393cd1fb0da8,
2.Source Code/produced_graph/Picture10.jpg,archive,Uncited legacy output; no current computational reader found,468005,ab70d0ea40b95c73716847a1ac7d8a6cd1294e8eb7c0567e72accc70a5c5012a,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/Picture10.jpg
2.Source Code/produced_graph/Picture2.jpg,retain_lineage,"Current figure/table source, companion export, or complete audit/hash-bound dependency family",215272,efc93b0184540ded697756e488db16df933ae0d99715b7cdb03895581c99c728,
2.Source Code/produced_graph/Picture5.jpg,archive,Uncited legacy output; no current computational reader found,107745,bd6993cd4f7d1058908c146e9acb343b52d9e15235d8d4a104ad5b37a5b94963,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/Picture5.jpg
2.Source Code/produced_graph/PictureS2.jpg,retain_lineage,"Current figure/table source, companion export, or complete audit/hash-bound dependency family",195335,b619bbde94b7097c4df29700353423a8193e788b0d374aa8dff9f028e1de9a40,
2.Source Code/produced_graph/Picture_flow.jpg,archive,Uncited legacy output; no current computational reader found,173380,ea8618ef7b9c45a3feca778b815aee8902a6e5f113ff1278ce45efcff303145a,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/Picture_flow.jpg
2.Source Code/produced_graph/Picture_flow_edited.jpg,archive,Uncited legacy output; no current computational reader found,184869,7304efe27e7d584b77620cf4a43e6e372673b86ea128fe548eff2508b8a02526,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/Picture_flow_edited.jpg
2.Source Code/produced_graph/accuracy_barchart_nature.jpg,retain_lineage,"Current figure/table source, companion export, or complete audit/hash-bound dependency family",90698,56f8d6f3c1a352e481c295fc70ab0270b510514c312c17987190c879487d2bd0,
2.Source Code/produced_graph/all_prediction_confusion_matrix_long.csv,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",2534,0d9baaf7c10d046ce9d2c28107d51e0f83fd6920e87213b6f8482821d6fde5a4,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_confusion_matrix_long.csv
2.Source Code/produced_graph/all_prediction_contemporaneous_random_cv_predictions.csv,retain_lineage,"Current figure/table source, companion export, or complete audit/hash-bound dependency family",1027173,4eb561baedaf22a51d534177b768afb82865f44f7b781cc334a481d40759cde3,
2.Source Code/produced_graph/all_prediction_contemporaneous_random_cv_source_audit.csv,retain_lineage,"Current figure/table source, companion export, or complete audit/hash-bound dependency family",1608,1502cbf77e99d32ef9946d3df2a9655f9596dee600743b9139faea2a93ef75d3,
2.Source Code/produced_graph/all_prediction_five_class_confusion_matrices.jpg,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",254422,59dbdaca5919b6325f6e14c2ce763b44843567542d2737db45f36b01c9f8f240,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_five_class_confusion_matrices.jpg
2.Source Code/produced_graph/all_prediction_five_class_confusion_matrices.pdf,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",26839,3424739953be5d6d0e2dc39e93a0f1544f1ec376823f91d2fa9cde80d1dbf13a,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_five_class_confusion_matrices.pdf
2.Source Code/produced_graph/all_prediction_five_class_confusion_matrices.png,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",183955,362862949d50c36cef806548bc31ee033c46ea8a9e4d53c9896bd1e35254e6c4,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_five_class_confusion_matrices.png
2.Source Code/produced_graph/all_prediction_macro_metrics.csv,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",415,a064e764e01408c25b547b92f1f59d137954ef32be492fd79927ce6063ba323c,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_macro_metrics.csv
2.Source Code/produced_graph/all_prediction_macro_metrics.jpg,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",104167,fdbff06e963d756717f74bebe64a5a582349c39b5684bad4c235f4249817ad3c,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_macro_metrics.jpg
2.Source Code/produced_graph/all_prediction_macro_metrics.pdf,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",14139,77e7ba4c35a8c7954da6d95b4dff60135603f56ca9dff690049540be20e72b5f,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_macro_metrics.pdf
2.Source Code/produced_graph/all_prediction_macro_metrics.png,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",89323,e09d39b6b105fff9b2ea7ca096972ab53bf1d9e6dc5bf2dd502f621816279a5f,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_macro_metrics.png
2.Source Code/produced_graph/all_prediction_per_class_metrics.csv,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",736,7553ad324fb046c7f52ec3d11411b6ebcae40a2a7fcbba462bf0174c23b67475,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_per_class_metrics.csv
2.Source Code/produced_graph/all_prediction_temporal_test_class_specific_precision_recall.csv,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",2099,ce409fa22bc65e4f3c8d5fbbfaddc787572e409223c1e8814ef743bda7be6246,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_class_specific_precision_recall.csv
2.Source Code/produced_graph/all_prediction_temporal_test_class_specific_precision_recall.jpg,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",216015,a8947c9ecafde8394c46d5dfa585b3370283f425a155f9d6c0350e99558a5c55,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_class_specific_precision_recall.jpg
2.Source Code/produced_graph/all_prediction_temporal_test_class_specific_precision_recall.pdf,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",23374,2cf3db0ecd4a056aa71d759547b19bf875d7f7fb43fbe819ec8e79979eae26a2,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_class_specific_precision_recall.pdf
2.Source Code/produced_graph/all_prediction_temporal_test_class_specific_precision_recall.png,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",174518,cb707f7ff99678623dfbc0efb6ddda3b4e1b7b5f0cc60d1bfe7e9a04b5df862b,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_class_specific_precision_recall.png
2.Source Code/produced_graph/all_prediction_temporal_test_confusion_matrix_long.csv,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",8309,431df4370485ed198b3072a4abdfc5a836fbba5825044dc745947819264ed3d2,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_confusion_matrix_long.csv
2.Source Code/produced_graph/all_prediction_temporal_test_five_class_confusion_matrices.jpg,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",285265,74926220783dfdd742fba21a96667e9581078cffb71631f1bc3a02858e0ff0fe,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_five_class_confusion_matrices.jpg
2.Source Code/produced_graph/all_prediction_temporal_test_five_class_confusion_matrices.pdf,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",31606,07a4d08ca2dcf4e4bb7f02782c8970dee22e73eeb80d83413705a257d361505e,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_five_class_confusion_matrices.pdf
2.Source Code/produced_graph/all_prediction_temporal_test_five_class_confusion_matrices.png,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",237577,1be68833d90462fd0212faea771745f2f3a2aef2cffd46fdfebd30dee408acc5,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_five_class_confusion_matrices.png
2.Source Code/produced_graph/all_prediction_temporal_test_macro_metrics.csv,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",687,d0bd77d6be69061d6e91cb084d83424d9b9fce1132511a7d2444c2b76667a51f,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_macro_metrics.csv
2.Source Code/produced_graph/all_prediction_temporal_test_macro_metrics.jpg,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",129190,baec4d17c1d6e45223ea8deeb1266852eed72d25a18d2a0c0718cd29c1978629,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_macro_metrics.jpg
2.Source Code/produced_graph/all_prediction_temporal_test_macro_metrics.pdf,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",16837,7171c5732e29ccbf8714dc4441a7779e60da452a1cafc36014698c3b6a2dbc3d,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_macro_metrics.pdf
2.Source Code/produced_graph/all_prediction_temporal_test_macro_metrics.png,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",120208,9ffdb0cca3a5573791a654ef136ee35346c7ae6cab64484cfe142461c3f5e0b5,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_macro_metrics.png
2.Source Code/produced_graph/all_prediction_temporal_test_per_class_metrics.csv,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",1946,6b975019ef616bab77b26d7e4d9de636f49bfd0e606ae8bdd325a8b8e57c8e04,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_per_class_metrics.csv
2.Source Code/produced_graph/all_prediction_temporal_test_source_audit.csv,archive,"Alternative F/N evaluation, not current manuscript/R1; underlying All_prediction.csv retained",3363,368c55d50e560facc4c23eca1c44ad4429f974bfe7d292516a5a77e81ae77df0,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/all_prediction_temporal_test_source_audit.csv
2.Source Code/produced_graph/feature_importance_leave_one_out_022025.csv,archive,Uncited legacy output; no current computational reader found,593,6e82321ae2c2163a0496f40ba5e4e85ec3e8ba31cdbe3bcef4be97f9ad55e10a,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/feature_importance_leave_one_out_022025.csv
2.Source Code/produced_graph/forecasting_region_sub.csv,archive,Uncited legacy output; no current computational reader found,463,3421e858086e81ee33ab6525260f690f145a7c96fbffe1be5bb02bb2fe44d387,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/forecasting_region_sub.csv
2.Source Code/produced_graph/ipc_flowchart_final_nature.jpg,retain_uncertain,Current Figure 2/3 notebook output; exact lineage to renamed writing artwork unresolved,420026,f60167a9479151f5b9af2cac01273f8d528e08e2701588fb8f14fef8bc1581ab,
2.Source Code/produced_graph/ipc_flowchart_rules_transparent_cluster.jpg,retain_uncertain,Current Figure 2/3 notebook output; exact lineage to renamed writing artwork unresolved,473740,23d2eba35ad5372f613313e2753a5ebee3fa139caef550d20dbedd2150fa0c83,
2.Source Code/produced_graph/ipc_flowchart_with_rules_cluster.jpg,archive,Uncited legacy output; no current computational reader found,474103,be639235ad7d9212a4f5020ba27d3c999583a23dabdb2fbb48476f20e8c0afd3,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/ipc_flowchart_with_rules_cluster.jpg
2.Source Code/produced_graph/leave_area_out_10pct_forecasting_predictions.csv,archive,Superseded spatial protocol; current SI Table 3 uses strict temporal LOCO/fivefold,70413,340e692f1f2c40033da540b7b9b0b4b20820ea699ba37a11ad54f30408ea60ca,0.Archived/2026-09-08_obsolete_presentation/2.Source Code/produced_graph/leave_area_out_10pct_forecasting_predictions.csv
