artifact,scope,status,generator,evidence,notes,current_path,disposition
1.Source Data/error_analysis_forecasting_011525.csv,artifact,unresolved,,"No actual writer found in repository Python or parsed notebook code cells, including 0.Archived and .tmp.","30 rows with variable, mean_diff, correct_group_mean, wrong_group_mean, t_value, p_value, overall_phase_diff; derived analysis results; no writer or reader found. | 2026-09-15 author confirmed obsolete; archived_obsolete: No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection.",0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/error_analysis_forecasting_011525.csv,archived_obsolete
1.Source Data/forecasting_df_with_folds.csv,artifact,unresolved,,REPLICATION_PACKAGE.md:89-92 labels these 10-fold/5-fold CV assignments; all have 5575 rows; no writing or reading code located for filenames.,"Derived fold assignments, not original source data; documentation alone is not generator evidence. | 2026-09-15 author confirmed obsolete; archived_obsolete: No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection.",0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/forecasting_df_with_folds.csv,archived_obsolete
1.Source Data/forecasting_df_with_folds_5.csv,artifact,unresolved,,REPLICATION_PACKAGE.md:89-92 labels these 10-fold/5-fold CV assignments; all have 5575 rows; no writing or reading code located for filenames.,"Derived fold assignments, not original source data; documentation alone is not generator evidence. | 2026-09-15 author confirmed obsolete; archived_obsolete: No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection.",0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/forecasting_df_with_folds_5.csv,archived_obsolete
1.Source Data/metric_frame.csv,artifact,unresolved,,"No actual writer found in repository Python or parsed notebook code cells, including 0.Archived and .tmp.","6 rows with threshold, recall_rate, precision_rate: derived evaluation results; no writer or reader found. | 2026-09-15 author confirmed obsolete; archived_obsolete: No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection.",0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/metric_frame.csv,archived_obsolete
1.Source Data/nowcasting_df_with_folds.csv,artifact,unresolved,,REPLICATION_PACKAGE.md:89-92 labels these 10-fold/5-fold CV assignments; all have 5575 rows; no writing or reading code located for filenames.,"Derived fold assignments, not original source data; documentation alone is not generator evidence. | 2026-09-15 author confirmed obsolete; archived_obsolete: No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection.",0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/nowcasting_df_with_folds.csv,archived_obsolete
1.Source Data/nowcasting_df_with_folds_5.csv,artifact,unresolved,,REPLICATION_PACKAGE.md:89-92 labels these 10-fold/5-fold CV assignments; all have 5575 rows; no writing or reading code located for filenames.,"Derived fold assignments, not original source data; documentation alone is not generator evidence. | 2026-09-15 author confirmed obsolete; archived_obsolete: No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection.",0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/nowcasting_df_with_folds_5.csv,archived_obsolete
1.Source Data/old_graph/2022_actual_alert_top20_percent.png,artifact,unresolved,,"No actual writer found in repository Python or parsed notebook code cells, including 0.Archived and .tmp.","Historical rendered map, not a handmade flowchart. No exact producer found in current repository or 0.Archived; current panel generator only exports composite figures. | 2026-09-15 author confirmed obsolete; archived_obsolete: No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection.",0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/old_graph/2022_actual_alert_top20_percent.png,archived_obsolete
1.Source Data/old_graph/2022_actual_alert_top30_percent.png,artifact,unresolved,,"No actual writer found in repository Python or parsed notebook code cells, including 0.Archived and .tmp.","Historical rendered map, not a handmade flowchart. No exact producer found in current repository or 0.Archived; current panel generator only exports composite figures. | 2026-09-15 author confirmed obsolete; archived_obsolete: No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection.",0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/old_graph/2022_actual_alert_top30_percent.png,archived_obsolete
1.Source Data/old_graph/2022_forecast_alert_top20_percent.png,artifact,unresolved,,"No actual writer found in repository Python or parsed notebook code cells, including 0.Archived and .tmp.","Historical rendered map, not a handmade flowchart. No exact producer found in current repository or 0.Archived; current panel generator only exports composite figures. | 2026-09-15 author confirmed obsolete; archived_obsolete: No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection.",0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/old_graph/2022_forecast_alert_top20_percent.png,archived_obsolete
1.Source Data/old_graph/2022_forecast_alert_top30_percent.png,artifact,unresolved,,"No actual writer found in repository Python or parsed notebook code cells, including 0.Archived and .tmp.","Historical rendered map, not a handmade flowchart. No exact producer found in current repository or 0.Archived; current panel generator only exports composite figures. | 2026-09-15 author confirmed obsolete; archived_obsolete: No active reader found by exact name, stem, partial construction tokens, or directory/glob reader inspection.",0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/old_graph/2022_forecast_alert_top30_percent.png,archived_obsolete
1.Source Data/r2_frame_cv.csv,artifact,writer_output_path_differs,0.Archived/2026-09-16_legacy_contemporaneous_notebook/2.Source Code/Table1_Contemporaneous_main.ipynb,"2.Source Code/Table1_Contemporaneous_main.ipynb cell 2 line 6: r2_frame_cv.to_csv(r'produced_graph/r2_frame_cv.csv', index=False)","Writer for same named result exists, but current destination is 2.Source Code/produced_graph, not 1.Source Data; no copy/install writer to audited path found and byte identity not established. Existing 1115 rows; notebook cell 1 lines 75-109 resets y_pred_test each fold, cell 2 exports final fold only, not 5575 pooled OOF rows. | 2026-09-15 author confirmed obsolete; archived_obsolete: No active reader of 1.Source Data/r2_frame_cv.csv found. Table1 notebook only writes produced_graph/r2_frame_cv.csv; Figure1 contemporaneous values now read sidecar, not this CSV. | Legacy notebook archived 2026-09-16; active fixed-seed entry is generate_contemporaneous_main.py.",0.Archived/2026-09-15_obsolete_historical_results/1.Source Data/r2_frame_cv.csv,archived_obsolete
1.Source Data/r2_frame_forecasting.csv,artifact,writer_output_path_differs,2.Source Code/Figure2_Feature_Importance_Forecasting.ipynb,"2.Source Code/Figure2_Feature_Importance_Forecasting.ipynb cell 3 line 5: r2_frame_forecasting.to_csv(r'produced_graph/r2_frame_forecasting.csv', index=False)","Writer for same named result exists, but current destination is 2.Source Code/produced_graph, not 1.Source Data; no copy/install writer to audited path found and byte identity not established. | 2026-09-15 author confirmed obsolete; retained_active_dependency: Active data reader plus default anchor read, protected hash read and readiness requirement. produced_graph writer is a different path.",1.Source Data/r2_frame_forecasting.csv,retained_active_dependency
1.Source Data/r2_frame_nowcasting.csv,artifact,writer_output_path_differs,2.Source Code/Figure2_Nowcasting_two_layer_feature_importance.ipynb,"2.Source Code/Figure2_Nowcasting_two_layer_feature_importance.ipynb cell 3 line 4: r2_frame_nowcasting.to_csv(r'produced_graph/r2_frame_nowcasting.csv', index=False)","Writer for same named result exists, but current destination is 2.Source Code/produced_graph, not 1.Source Data; no copy/install writer to audited path found and byte identity not established. | 2026-09-15 author confirmed obsolete; retained_active_dependency: Active data reader plus default anchor read, protected hash read and readiness requirement. produced_graph writer is a different path.",1.Source Data/r2_frame_nowcasting.csv,retained_active_dependency
2.Source Code/contemporaneous_hyperparameters.json,artifact,configuration_input,,"2.Source Code/Table1_Contemporaneous_main.ipynb cell 1 lines 30-35: open(...), json.load.",Supplied model configuration input; exempt from result-generator requirement. No tuning exporter identified.,2.Source Code/contemporaneous_hyperparameters.json,retained
2.Source Code/contemporaneous_hyperparameters_p3.json,artifact,configuration_input,,"2.Source Code/Table1_Contemporaneous_main.ipynb cell 1 lines 30-35: open(...), json.load.",Supplied model configuration input; exempt from result-generator requirement. No tuning exporter identified.,2.Source Code/contemporaneous_hyperparameters_p3.json,retained
2.Source Code/flowchart_SI/Picture4.drawio,artifact,manual_artwork,,"flowchart_SI/Picture4.drawio:1 contains <mxfile host=""app.diagrams.net"">; PNG visual inspection shows handmade training/validation diagram.","Exempt manual diagram source/export; Figure3 notebook renders other basenames, not these artifacts.",2.Source Code/flowchart_SI/Picture4.drawio,retained
2.Source Code/flowchart_SI/Picture4.jpg,artifact,manual_artwork,,"flowchart_SI/Picture4.drawio:1 contains <mxfile host=""app.diagrams.net"">; PNG visual inspection shows handmade training/validation diagram.","Exempt manual diagram source/export; Figure3 notebook renders other basenames, not these artifacts.",2.Source Code/flowchart_SI/Picture4.jpg,retained
2.Source Code/flowchart_SI/Untitled Diagram.drawio (1).png,artifact,manual_artwork,,"flowchart_SI/Picture4.drawio:1 contains <mxfile host=""app.diagrams.net"">; PNG visual inspection shows handmade training/validation diagram.","Exempt manual diagram source/export; Figure3 notebook renders other basenames, not these artifacts.",2.Source Code/flowchart_SI/Untitled Diagram.drawio (1).png,retained
2.Source Code/flowchart_SI/Untitled Diagram.drawio.png,artifact,manual_artwork,,"flowchart_SI/Picture4.drawio:1 contains <mxfile host=""app.diagrams.net"">; PNG visual inspection shows handmade training/validation diagram.","Exempt manual diagram source/export; Figure3 notebook renders other basenames, not these artifacts.",2.Source Code/flowchart_SI/Untitled Diagram.drawio.png,retained
2.Source Code/forecasting_hyperparameters.json,artifact,configuration_input,,"2.Source Code/Table1_Forecasting_main.ipynb cell 1 lines 28-32: open(..., ""r""), json.load.",Supplied model configuration input; exempt from result-generator requirement. No tuning exporter identified.,2.Source Code/forecasting_hyperparameters.json,retained
2.Source Code/forecasting_hyperparameters_p3.json,artifact,configuration_input,,"2.Source Code/Table1_Forecasting_main.ipynb cell 1 lines 28-32: open(..., ""r""), json.load.",Supplied model configuration input; exempt from result-generator requirement. No tuning exporter identified.,2.Source Code/forecasting_hyperparameters_p3.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/AFG/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/AFG/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/AFG/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/AFG/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/AFG/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/AFG/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/BDI/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/BDI/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/BDI/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/BDI/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/BDI/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/BDI/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/CAF/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/CAF/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/CAF/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/CAF/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/CAF/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/CAF/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/COD/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/COD/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/COD/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/COD/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/COD/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/COD/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/DJI/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/DJI/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/DJI/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/DJI/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/DJI/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/DJI/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/DOM/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/DOM/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/DOM/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/DOM/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/DOM/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/DOM/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ETH/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ETH/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ETH/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ETH/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ETH/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/ETH/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/GTM/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/GTM/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/GTM/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/GTM/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/GTM/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/GTM/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/HND/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/HND/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/HND/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/HND/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/HND/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/HND/nowcasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/HTI/forecasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/HTI/forecasting_predictions.csv,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/HTI/manifest.json,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/HTI/manifest.json,retained
2.Source Code/produced_graph/.leave_one_country_out_checkpoints/HTI/nowcasting_predictions.csv,checkpoint,generated_confirmed,2.Source Code/generate_leave_one_country_out_robustness.py,2.Source Code/generate_leave_one_country_out_robustness.py:858-864 path map; 881-888 CSV/json writes and os.replace; 1502 checkpoint directory.,Static writer coverage only; no execution or byte-identical regeneration verified.,2.Source Code/produced_graph/.leave_one_country_out_checkpoints/HTI/nowcasting_predictions.csv,retained
